x,RT,40deg,60deg,65deg,67deg,69deg,72deg,75deg,80deg
3.61088,12.6394,11.8141,2.37918,-16.296,-18.4312,-17.7695,-11.8959,-8.21561,-3.30855
3.61531,12.6642,11.8364,2.00743,-16.4481,-18.7212,-18.1413,-12.4535,-8.77323,-3.86617
3.61973,12.689,11.8587,1.63569,-16.6002,-19.0112,-18.4758,-13.0112,-9.27509,-4.42379
3.62415,12.7138,11.8835,1.26394,-16.7523,-19.3011,-18.8104,-13.513,-9.77695,-4.98141
3.62857,12.7385,11.9083,0.929368,-16.9044,-19.5911,-19.145,-14.0149,-10.3346,-5.53903
3.63299,12.7633,11.9331,0.594796,-17.0564,-19.846,-19.4796,-14.526,-10.8922,-6.09665
3.63741,12.7881,11.9579,0.260223,-17.2085,-20.1009,-19.8141,-15.0372,-11.4498,-7.10037
3.64184,12.8129,11.9827,-0.111524,-17.3606,-20.3558,-20.1487,-15.5483,-12.0074,-7.65799
3.64626,12.8377,12.0074,-0.483271,-17.4721,-20.6107,-20.4833,-16.0595,-12.5951,-8.21561
3.65068,12.8625,12.0322,-0.855019,-17.5836,-20.8656,-20.8178,-16.5706,-13.1827,-8.77323
